year,beneficial_fraction,crop_water_deficit,relative_water_deficit,total_seasonal_biomass_production,seasonal_yield,crop_water_productivity,section_name,block
2018,0.73725,0.6302781,0.36972186,15.605334,5.920848,0.95841753,Thiba,H5
2018,0.7257472,0.6540604,0.34593955,15.613245,5.9238496,0.9677848,Thiba,H4
2018,0.73007107,0.6541002,0.3458998,15.337508,5.819231,0.9554973,Thiba,H2
2018,0.74913126,0.6727291,0.32727087,17.433327,6.614409,1.0586883,Thiba,H1
2018,0.726551,0.6384914,0.36150858,14.85198,5.6350164,0.9223817,Thiba,H3
2018,0.7546756,0.6168421,0.38315794,18.841133,7.1485476,1.2495819,Mwea,MIAD
2018,0.73404616,0.6582122,0.34178787,17.685068,6.7099223,1.0993346,Thiba,H19
2018,0.76540625,0.68959105,0.31040895,18.213541,6.9104323,1.0783768,Thiba,H18
2018,0.73846114,0.66183937,0.33816075,17.168686,6.5140014,1.0597001,Thiba,H20
2018,0.7563326,0.67000425,0.32999572,18.936596,7.184767,1.156387,Mwea,M14
2018,0.78796136,0.7138878,0.28611225,19.73782,7.4887614,1.1302211,Mwea,M16
2018,0.76565,0.67792505,0.32207492,19.371513,7.3497796,1.1694654,Mwea,M17A
2018,0.7618158,0.67213273,0.32786727,19.3734,7.3504963,1.1785581,Mwea,M13
2018,0.74723744,0.6511042,0.34889573,18.58222,7.0503125,1.1675333,Mwea,M11
2018,0.75887096,0.6554072,0.3445928,19.244837,7.3017173,1.2003784,Mwea,M9
2018,0.7788958,0.6746265,0.32537347,20.319168,7.709331,1.2319858,Mwea,M5
2018,0.75613236,0.66657853,0.33342153,19.031895,7.2209244,1.1677511,Mwea,M3
2018,0.7553741,0.6564699,0.34353003,18.767431,7.120584,1.1699055,Mwea,M4
2018,0.7533338,0.6642531,0.33574688,18.673588,7.0849786,1.1482079,Mwea,M2
2018,0.75744927,0.66746193,0.33253807,19.419947,7.368156,1.1841369,Mwea,M1
2018,0.77740574,0.65777224,0.34222773,16.242643,6.162649,0.9574954,Tebere,T8
2018,0.7741058,0.6526922,0.3473079,16.059244,6.0930657,0.9520984,Tebere,T23
2018,0.7569195,0.64485604,0.355144,12.956781,4.9159546,0.7768617,Tebere,T11
2018,0.77830416,0.6517143,0.34828573,15.593248,5.9162617,0.92603177,Tebere,T7
2018,0.7897,0.65855503,0.34144494,15.469855,5.8694444,0.91193736,Tebere,T6
2018,0.7974073,0.63565034,0.36434963,19.832823,7.524807,1.2135124,Tebere,T12
2018,0.7627626,0.6019263,0.3980737,16.934511,6.425153,1.0974225,Tebere,T25
2018,0.7686533,0.6595448,0.3404552,14.306041,5.42788,0.8371557,Tebere,T22
2018,0.76411796,0.6571336,0.34286642,16.016354,6.076793,0.940451,Tebere,T19
2018,0.7971928,0.6760496,0.32395044,19.011843,7.213316,1.0915965,Tebere,T15
2018,0.76893574,0.66022885,0.33977118,16.582983,6.2917786,0.9716425,Tebere,T20
2018,0.76021403,0.6428082,0.35719186,17.270374,6.5525827,1.0438889,Tebere,T21
2018,0.7787698,0.6784745,0.3215255,18.62169,7.0652895,1.0614964,Tebere,T18
2018,0.7879282,0.6620685,0.33793148,18.579683,7.0493503,1.0891272,Tebere,T16
2018,0.7757221,0.6677854,0.33221465,18.850285,7.15202,1.0952398,Tebere,T17
2018,0.7840284,0.6481477,0.35185227,19.76817,7.500275,1.1867584,Tebere,T13
2018,0.7936379,0.65851164,0.34148836,19.858679,7.534617,1.1706712,Tebere,T14
2018,0.792039,0.6680461,0.3319538,19.820412,7.5200973,1.1522319,Tebere,T5
2018,0.7996168,0.6812636,0.31873637,21.289076,8.077326,1.2137835,Tebere,T2
2018,0.83663636,0.720763,0.27923694,22.74132,8.628325,1.2881937,Tebere,T3
2018,0.8181754,0.65414256,0.34585744,21.119436,8.012961,1.2577511,Tebere,T4
2018,0.73275095,0.616085,0.38391504,14.28674,5.420556,0.9029058,Thiba,H8
2018,0.7507106,0.6322101,0.36778998,16.331285,6.1962814,1.0014348,Thiba,H6
2018,0.7299546,0.61639565,0.38360435,14.927004,5.663481,0.9404744,Thiba,H7
2018,0.80262566,0.7380258,0.26197416,16.864609,6.3986316,0.8847947,Karaba,K7
2018,0.78327566,0.7111309,0.2888691,15.898973,6.032258,0.86493075,Karaba,K6
2018,0.78252083,0.7011574,0.29884255,14.474494,5.4917927,0.79916394,Karaba,K5
2018,0.7764258,0.6935336,0.30646628,15.159229,5.7515903,0.8468519,Karaba,K4
2018,0.77946526,0.724298,0.275702,17.611933,6.6821756,0.9409878,Karaba,K8
2018,0.7661066,,,16.467037,6.2477875,0.9501953,Wamumu,W6
2018,0.7374401,0.63776076,0.36223912,12.5525875,4.7625995,0.7589245,Karaba,K1
2018,0.73418856,0.63952845,0.36047152,12.787124,4.8515854,0.7763467,Karaba,K2
2018,0.74848527,0.6519108,0.3480892,14.3801155,5.455985,0.853209,Karaba,k3
2018,0.7164297,0.6197681,0.3802319,11.637676,4.415471,0.72923595,Wamumu,K3
2018,0.73451954,0.6590298,0.3409702,13.446122,5.1016173,0.828494,Wamumu,W4
2018,0.7529679,0.6580714,0.34192857,15.951915,6.0523443,0.9387686,Wamumu,W3
2018,0.74018705,0.6493422,0.3506578,15.95716,6.0543337,0.95017856,Wamumu,W2
2018,0.7296022,0.629033,0.37096694,14.0984535,5.349119,0.8674355,Wamumu,W1
2018,0.7193444,0.637832,0.36216807,14.9172125,5.6597667,0.9433467,Wamumu,W7
2018,0.7738162,0.69722086,0.3027791,19.604193,7.4380617,1.1501156,Mwea,M15
2018,0.76932657,0.67698765,0.32301235,18.930557,7.182476,1.1437756,Mwea,M17B
2018,0.7486459,0.66607505,0.33392495,18.697836,7.094178,1.1473341,Mwea,M12A
2018,0.76994556,0.6807477,0.31925237,19.753788,7.494819,1.1851842,Mwea,M6A
2018,0.7411977,0.64526105,0.35473892,18.113565,6.8725,1.148252,Mwea,M8
2018,0.720847,0.6290348,0.37096518,17.249416,6.544632,1.1213584,Mwea,M7B
2018,0.8192506,0.73699576,0.26300424,22.792053,8.6475725,1.2666674,Mwea,M6B
2018,0.76106346,0.6618762,0.33812377,19.641605,7.4522552,1.2139213,Mwea,M7A
2018,0.7636959,0.6594497,0.34055027,19.307486,7.325488,1.1983693,Mwea,M10
2018,0.71670574,0.63511413,0.3648858,17.320837,6.571729,1.1159935,Mwea,M12B
2019,0.7279648,0.6384306,0.3615694,16.411842,6.226846,0.9840321,Thiba,H5
2019,0.71807027,0.65699524,0.3430047,16.577648,6.2897544,1.004055,Thiba,H4
2019,0.69971335,0.6321144,0.3678856,15.220196,5.774721,0.96306235,Thiba,H2
2019,0.7090502,0.64076984,0.35923022,17.030453,6.461554,1.0653505,Thiba,H1
2019,0.72945863,0.653047,0.34695297,16.131653,6.120538,0.96519905,Thiba,H3
2019,0.746041,0.6263016,0.37369838,20.480747,7.770636,1.3098074,Mwea,MIAD
